sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.02,0.89215,0.009554690223296518,20,0.0021364936843243656,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.02,0.90695,0.012700911695415299,20,0.002840010192717071,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.02,0.91805,0.0102468223572507,20,0.00229125913441772,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1200,0.02,0.9253,0.007298882394622224,20,0.0016320797194151737,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.03,0.96605,0.0063864577118511665,20,0.0014280553579126972,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.03,0.9715,0.005577209262516047,20,0.0012471019035727349,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.03,0.9754499999999999,0.004248529157249604,20,9.500000000000008e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1200,0.03,0.98015,0.004171015274612724,20,9.326673689224003e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.05,0.9946,0.002817240157541272,20,6.299540501204501e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.05,0.9953,0.002515216847405745,20,5.624195848951962e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.05,0.99685,0.0013088765773505327,20,2.9267370011130527e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1200,0.05,0.99795,0.001394538218230417,20,3.118282253184649e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.01,0.61425,0.013214326356369132,20,0.002954813200970849,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.01,0.63765,0.01985281366774785,20,0.004439224090572112,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.01,0.6647500000000001,0.014241802813142072,20,0.0031845639212333405,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1200,0.01,0.6782,0.01451532765190317,20,0.003245725934533789,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.02,0.88745,0.01587939744316185,20,0.003550741212464625,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.02,0.9006000000000001,0.008022337236544112,20,0.0017938491399340443,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.02,0.9093,0.009873409265614181,20,0.0022077614287589584,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1200,0.02,0.9193,0.007197221686178639,20,0.0016093476939431095,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.03,0.9598,0.007918000810943718,20,0.0017705188059168615,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.03,0.9668,0.005166694963137006,20,0.0011553081156580115,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.03,0.9718,0.005671721171975191,20,0.0012682354089961303,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1200,0.03,0.97525,0.006103277807866857,20,0.0013647344063956192,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.05,0.99295,0.002892367451359565,20,6.467530237147804e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.05,0.99425,0.002381397201556044,20,5.324966024107082e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.05,0.9959,0.0019973666874689116,20,4.466247689174064e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1200,0.05,0.99705,0.002282081229238371,20,5.102888758753278e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.01,0.68045,0.014262482990441413,20,0.003189188149456148,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.01,0.7006,0.01352736018904686,20,0.0030248096938833183,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.01,0.7252,0.018958680833522385,20,0.004239289910747843,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1200,0.01,0.75005,0.01505245215204068,20,0.003365830624002596,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.02,0.91805,0.011199036612701626,20,0.002504180714850982,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.02,0.9278000000000001,0.0070903937979865505,20,0.0015854602519540838,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.02,0.9391499999999999,0.007485248651075027,20,0.0016737524812292365,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1200,0.02,0.9488,0.006638008578989391,20,0.001484303841784706,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.03,0.97615,0.0049976310177396776,20,0.0011175042682127377,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.03,0.9792,0.004137123333148801,20,9.250889004221226e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.03,0.9813999999999999,0.003346640106136305,20,7.483314773547889e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1200,0.03,0.98395,0.004465953072089462,20,9.986174653516056e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.05,0.99605,0.0023050288273114617,20,5.154201147965053e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.05,0.9977,0.0011285761872936704,20,2.5235730725761815e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.05,0.99785,0.0015312533566021226,20,3.4239865961370724e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1200,0.05,0.99785,0.001268027892769756,20,2.8353965655989887e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.01,0.6788000000000001,0.01116196549377439,20,0.002495891360658654,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1000,0.01,0.69395,0.016426791338670175,20,0.003673142208547128,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1100,0.01,0.7218,0.013990974534357962,20,0.003128477013029287,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1200,0.01,0.73985,0.013902953113031715,20,0.003108794824873123,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
900,0.02,0.9156000000000001,0.010158740079360244,20,0.002271563338320111,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1000,0.02,0.9277500000000001,0.007210190157358065,20,0.0016122475322552538,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1100,0.02,0.931,0.009380831519646827,20,0.0020976176963402957,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1200,0.02,0.9400999999999999,0.007369210484027048,20,0.0016478055582788607,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
900,0.03,0.97395,0.004211200603903336,20,9.416530817216026e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1000,0.03,0.9783499999999999,0.0031334359818945712,20,7.006575858660061e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1100,0.03,0.97955,0.0038453663161346777,20,8.598500481265085e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1200,0.03,0.984,0.0028469743865891647,20,6.366028258614138e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
900,0.05,0.9963,0.001657518754359249,20,3.7063246087280566e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1000,0.05,0.9968,0.0016733200530681526,20,3.7416573867739446e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1100,0.05,0.99765,0.0017554426642213145,20,3.925289127802197e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
1200,0.05,0.9977,0.0014545753585442777,20,3.252529380101134e-4,Region,Binary (delta; 25_75),Region_20K,20000,1000,0.25
900,0.01,0.737,0.015670958725247843,20,0.0035041328982247624,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1000,0.01,0.7634,0.01562184705030613,20,0.0034931511938589084,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1100,0.01,0.77575,0.019809288092630748,20,0.00442949147609995,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1200,0.01,0.79945,0.011090417865033415,20,0.0024798928245092803,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
900,0.02,0.9425,0.007890700722669461,20,0.0017644143205995631,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1000,0.02,0.9503999999999999,0.007789331435401003,20,0.0017417474588832652,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1100,0.02,0.95245,0.007148610464904859,20,0.001598477894419364,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1200,0.02,0.96395,0.005933624081186991,20,0.0013267986798463844,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
900,0.03,0.98485,0.0037455236440878436,20,8.375245479513146e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1000,0.03,0.985,0.0039202577788497025,20,8.765962882830272e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1100,0.03,0.9881,0.003640416401862209,20,8.14021854096909e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1200,0.03,0.99165,0.0028149039433924437,20,6.294316567557723e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
900,0.05,0.99805,0.001316894273021108,20,2.9446651136553646e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1000,0.05,0.9982,0.001399247918291147,20,3.128813462674076e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1100,0.05,0.999,9.733285267845761e-4,20,2.176428750330037e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
1200,0.05,0.99885,0.0010399898784932587,20,2.3254880642226727e-4,Region,Binary (delta; 50_50),Region_20K,20000,1000,0.5
